ID,name,url,location,no. of reviews,description,tuition,enrollment
26,University of Southern California,https://www.usnews.com//best-colleges/university-of-southern-california-1328,"Los Angeles, CA",30 reviews,"Undergraduates study in the College of Letters, Arts, and Sciences at the University of Southern California, a private school based in Los Angeles. The USC Trojans compete in the NCAA Division I Pac-12 Conference and are particularly competitive in football.","$60,275 ","19,606(fall 2020)"
27,New York University,https://www.usnews.com//best-colleges/nyu-2785,"New York, NY",55 reviews,"New York University\'92s primary campus is located in the lively Greenwich Village neighborhood of Manhattan. NYU is a true city school, with no borders separating a distinct campus from the streets of the Big Apple. Students are guaranteed housing for all four years in the many residence halls throughout Manhattan, but many upperclassmen choose to live off campus in apartments around the city. NYU has a small but active Greek life with more than 30 fraternity and sorority chapters. There are more than 300 student organizations on campus, such as WNYU, the student radio station which streams online and broadcasts on a local FM channel to the university community.NYU is divided into a number of schools and colleges, the largest of which is the College of Arts and Sciences. For those interested in drama or film, the renowned Tisch School of the Arts is the place to go, offering both undergraduate and graduate programs in acting, dance, dramatic writing, film, television and more. Former Tisch students include directors Martin Scorsese and Spike Lee. Other graduate programs include the highly ranked Stern School of Business; Steinhardt School of Culture, Education, and Human Development; School of Law; School of Medicine; Silver School of Social Work; and Robert F. Wagner Graduate School of Public Service.","$56,500 ","27,444(fall 2020)"
28,Tufts University,https://www.usnews.com//best-colleges/tufts-university-2219,"Medford, MA",17 reviews,"Tufts University, located not far from downtown Boston, is comprised of the School of Arts and Sciences, and the School of Engineering that serves both undergraduate and graduate students, and a number of graduate and professional schools, including the highly ranked School of Medicine and Cummings School of Veterinary Medicine. All freshmen and sophomores are required to live on campus. Students can participate in such student groups as cycling, which is a club sport; the Beelzebubs, an all-male a cappella group; and the Geological Society. About half of the student body participates in study abroad programs, and approximately a quarter of students are affiliated with Greek life. Tufts\'92 official mascot, Jumbo the elephant, is the only school mascot listed in Merriam-Webster dictionary. Tufts also has a permanent art collection that features works by Pablo Picasso, Andy Warhol and John Singer Sargent.","$63,000 ","6,114(fall 2020)"
29,University of California--Santa Barbara,https://www.usnews.com//best-colleges/university-of-california-santa-barbara-1320,"Santa Barbara, CA",27 reviews,"Located 100 miles up the coast from Los Angeles, the University of California\'97Santa Barbara sits atop cliffs overlooking the Pacific Ocean. Students can get involved in any of the more than 400 clubs and organizations on campus, including a Greek community that comprises about 10 percent of undergraduate students. UCSB provides housing to about 30 percent of students in eight residence halls and several university apartment complexes.The UC Santa Barbara Gauchos compete primarily in the NCAA Division I Big West Conference and are known for their successful women\'92s basketball and men\'92s soccer teams. Non-varsity students can join a club team such as cycling, surfing, rugby or ski and snowboard.UCSB encompasses five schools and colleges, the largest of which is the College of Letters and Science, serving undergraduate and graduate students. Graduate programs at UCSB include the highly ranked College of Engineering. The Gevirtz Graduate School of Education and Donald Bren School of Environmental Science and Management are other notable graduate schools at UCSB. Undergraduate students can apply for admissions into the College of Creative Studies, which emphasizes focused studies in one of eight disciplines: art, biology, chemistry and biochemistry, computer science, literature, mathematics, music composition or physics. Musician Jack Johnson and actor Michael Douglas both graduated from UCSB.","$44,196(out-of-state)","23,196(fall 2020)"
30,University of Florida,https://www.usnews.com//best-colleges/university-of-florida-1535,"Gainesville, FL",68 reviews,"The University of Florida is about two miles away from downtown Gainesville, a college town bolstered by the school\'92s more than 50,000 students. The Florida Gators sports teams compete in the NCAA Division I Southeastern Conference, and are supported by mascots Albert and Alberta the Alligators. The Gator football team, which competes in Ben Hill Griffin Stadium \'96 commonly called the ""The Swamp"" \'96 is particularly notorious. The team became the namesake of popular sports drink Gatorade in 1965, after freshmen Gators participated in an experiment with the novel beverage. The annual Gator Growl, held each Homecoming weekend, has been called the largest student-run pep rally in the nation. About 15 percent of students are involved in the school\'92s 60-plus fraternities and sororities. Freshmen do not have to live on campus, though more than 75 percent opt to do so. All students can partake in Gator Nights, held every Friday, which offer free late-night entertainment and midnight snacks.The school has well-regarded graduate programs through the Herbert Wertheim College of Engineering, Warrington College of Business, Levin College of Law and the College of Medicine. The university is also integrated with retirement community Oak Hammock, where students can work, complete internships and find mentors. Famous graduates of the University of Florida include home repair television sensation Bob Vila, Heisman Trophy winner Steve Spurrier and former U.S. Sens. Bob Graham and Connie Mack.","$28,658(out-of-state)","34,931(fall 2020)"
31,University of North Carolina--Chapel Hill,https://www.usnews.com//best-colleges/unc-2974,"Chapel Hill, NC",22 reviews,"The University of North Carolina\'97Chapel Hill, often referred to as UNC, offers a wide range of student activities. Popular student organizations include The Daily Tarheel, UNC\'92s student newspaper, and WXYC, the student-run radio station. Nearly 20 percent of students are members of Greek life. Chapel Hill, which surrounds UNC, is often considered one of the best college towns in the country, offering music, restaurants and shopping. Almost half of all undergraduates live on campus in one of the residence halls or apartment complexes. The North Carolina Tar Heels are members of the Atlantic Coast Conference and are known for their men\'92s basketball team, which maintains a storied rivalry with nearby institution Duke University and is one of the most successful programs in college basketball. Former players include Michael Jordan and Vince Carter.UNC is divided into a number of schools and colleges, the largest of which is the undergraduate College of Arts and Sciences. Graduate programs include the highly ranked Kenan\'97Flagler Business School, School of Education, School of Law, School of Medicine, Gillings School of Global Public Health, School of Social Work, Eshelman School of Pharmacy and School of Government. At least 82 percent of each freshmen class must be from North Carolina, as dictated by state law. Actor and former professional basketball player Rick Fox, the 11th president of the United States James K. Polk, and former U.S. Senator John Edwards all earned degrees from UNC.","$36,776(out-of-state)","19,399(fall 2020)"
32,Wake Forest University,https://www.usnews.com//best-colleges/wake-forest-2978,"Winston-Salem, NC",17 reviews,"Wake Forest University is located in Winston-Salem, North Carolina, just a few hours by car from skiing in the Blue Ridge Mountains or relaxing on the beaches of South Carolina. Campus Recreation offers intramural sports and outdoor trips such as kayaking on the New River, mountain biking and sky-diving. The Demon Deacons, Wake\'92s athletic teams, are members of the NCAA Division I Atlantic Coast Conference. When Wake Forest played rival Duke University in 1922 and won, a local reporter described the Wake players as ""Demon Deacons,"" and thus, the mascot was born. Students must live on campus for six semesters in one of the residence halls. Greek organizations play a big role at Wake Forest, with membership consisting of almost half of the student body.Wake Forest is made up of six schools. Its graduate programs include those in the highly ranked School of Law, School of Business and School of Medicine. Undergraduates are enrolled in either Wake Forest College or the business school. More than 60 percent of students take advantage of Wake\'92s study abroad programs offered in more than 70 countries around the world. Notable alumni include the shortest NBA player of all-time, Muggsy Bogues; legendary golfer Arnold Palmer; and journalist and talk show host Al Hunt.","$59,770 ","5,441(fall 2020)"
33,University of California--San Diego,https://www.usnews.com//best-colleges/university-of-california-san-diego-1317,"La Jolla, CA",11 reviews,"The University of California\'97San Diego lies alongside the Pacific Ocean in the La Jolla community of San Diego. The UCSD Tritons compete in more than 20 NCAA Division II sports, mainly in the California Collegiate Athletic Association. The school has hundreds of student organizations, and the university hosts a thriving Greek community. All freshmen are eligible for guaranteed on-campus housing for two years, but they are not required to live on campus. The campus has an aquarium and is home to the Large High Performance Outdoor Shake Table, which tests structures\'92 ability to withstand simulated earthquakes.UCSD includes six undergraduate colleges, five academic divisions and five graduate and professional schools. Its School of Medicine and Jacobs School of Engineering are highly ranked. One UCSD tradition is the Sun God Festival, which began in the 1980s and includes concerts featuring popular musicians, carnival activities, vendors and student booths. UCSD is also known for its International House, where approximately 350 students from more than 30 countries live and learn together. Notable UCSD alumni include Guy ""Bud"" Tribble and Bill Atkinson, who helped create the first Apple Macintosh computer, and Mike Judge, an actor, writer, director and producer who created the film ""Office Space"" and the TV series ""King of the Hill.""","$44,487(out-of-state)","31,842(fall 2020)"
34,University of Rochester,https://www.usnews.com//best-colleges/university-of-rochester-2894,"Rochester, NY",18 reviews,"The University of Rochester describes itself as one of the smallest and most collegiate schools among the nation\'92s top research universities. The Yellowjackets mainly compete in the University Athletic Association and participate in NCAA Division III sports. The school also offers more than 250 student organizations, and one quarter of students are affiliated with Greek life on campus. Rochester\'92s a cappella ensembles are among the country\'92s best. Freshmen and sophomores are required to live on campus, and two-thirds of the juniors and more than half of the seniors choose to remain on campus. Rochester\'92s main campus is located two miles south of downtown Rochester, N.Y., in the bend of the Genesee River.The University of Rochester\'92s graduate programs include the highly ranked William E. Simon Graduate School of Business Administration, Hajim School of Engineering and Applied Sciences, Medical Center, Department of Political Science and Department of Economics. The well-regarded Eastman School of Music is home to more than 20 ensembles, including the first wind ensemble in the country. The Institute of Optics is the nation\'92s oldest educational program devoted to optics. The school\'92s unique ""Take Five Scholars"" program provides students an additional tuition-free semester or year studying topics of interest outside of their major. Notable alumni include former U.S. Secretary of Energy Steven Chu and visual effects artist Michael Kanfer, who won an Academy Award for his work on the film ""Titanic.""","$59,344 ","6,521(fall 2020)"
35,Boston College,https://www.usnews.com//best-colleges/boston-college-2128,"Chestnut Hill, MA",15 reviews,"Boston College, located just outside downtown Boston, was founded by the Society of Jesus and has maintained its Roman Catholic Jesuit religious affiliation. The Carnegie Foundation for the Advancement of Teaching classifies it as a university with high research activity. BC has nine schools, which include such highly ranked graduate programs as the Lynch School of Education, Boston College Law School and Carroll School of Management. The school competes in nearly 30 NCAA Division I varsity sports in the Atlantic Coast Conference, and the BC Eagles have one of the highest graduation rates for student athletes in the country. Students can join more than 200 clubs and organizations, but there is no Greek system on campus. Freshmen are not required to live on campus, but the majority choose to do so. More than 1,000 students participate in study abroad each year.","$61,706 ","9,445(fall 2020)"
36,University of California--Irvine,https://www.usnews.com//best-colleges/university-of-california-irvine-1314,"Irvine, CA",10 reviews,"The University of California\'97Irvine, a research institution in Orange County, specializes in areas such as cancer and neuroscience studies in conjunction with the highly ranked UC Irvine Medical Center. Graduate programs are highly regarded at UC\'97Irvine, too, with specialty offerings at the Paul Merage School of Business and the Henry Samueli School of Engineering. Students can participate in more than 500 student organizations, including nearly 50 fraternities and sororities. The Pacific Ocean is only 5 miles from campus. Known as a commuter school, the university offers on-campus residences. Freshmen are not required to live on campus but more than three-fourths do. The university has earned accolades for its eco-friendly measures, promoting green initiatives through student groups like the Anteaters for Recycling and Conservation.","$43,709(out-of-state)","29,638(fall 2020)"
37,Georgia Institute of Technology,https://www.usnews.com//best-colleges/georgia-institute-of-technology-1569,"Atlanta, GA",20 reviews,"Georgia Tech, located in the heart of Atlanta, offers a wide range of student activities. The Georgia Tech Yellow Jackets, an NCAA Division I team, compete in the Atlantic Coast Conference and have a fierce rivalry with the University of Georgia. Since 1961, the football team has been led onto the field at home games by the Ramblin' Wreck, a restored 1930 Model A Ford Sport Coupe. Georgia Tech has a small but vibrant Greek community. Freshmen are offered housing, but aren't required to live on campus. In addition to its campuses in Atlanta and Savannah, Georgia Tech has campuses in France, Ireland, Costa Rica, Singapore and China.Georgia Tech has six colleges. Its highly ranked graduate schools include the College of Engineering and Scheller College of Business. Georgia Tech is very active in research. The Georgia Tech Research Institute conducts government and industry research, and the school's efforts are key to the Georgia Research Alliance, which plays a role in the state's economic development strategy. Famous alumni include Mike Duke, former president and CEO of Walmart; Bobby Jones, founder of The Masters golf tournament; and former professional baseball player Nomar Garciaparra. John Heisman was Georgia Tech\'92s first full-time football coach, and the Heisman Memorial Trophy was named in his honor. The school's newspaper for faculty and staff, The Whistle, is named for the steam whistle in the Tech Tower that blows in intervals with the campus class schedule, and each time the Yellow Jackets score a touchdown.","$33,794(out-of-state)","16,561(fall 2020)"
38,University of California--Davis,https://www.usnews.com//best-colleges/university-of-california-davis-1313,"Davis, CA",16 reviews,"The University of California\'97Davis, one of 10 schools in the University of California system, was originally established as a farm school for UC - Berkeley. Located just 15 miles from Sacramento, UC Davis' campus contains an airport, fire department and a collection of outdoor sculptures called Eggheads. There are more than 700 student organizations on campus in addition to a sizable Greek community that comprises about 65 fraternity and sorority chapters. All freshmen are guaranteed housing, and after their first year students typically move off campus or live in university apartments. The UC Davis Aggies field 25 NCAA Division I teams, and students can join the Aggie Pack, the largest student spirit organization in the country.UC Davis offers a wide range of academic options within its undergraduate, graduate and professional schools and colleges. Among the school's graduate programs are the highly ranked Graduate School of Management, School of Law, School of Medicine, College of Engineering and School of Veterinary Medicine. Other notable programs include the School of Education and the Betty Irene Moore School of Nursing. Undergraduates can study in the College of Letters and Science, College of Engineering, College of Biological Sciences or College of Agriculture and Environmental Sciences. The UC Davis Arboretum, technically a public park, encompasses 100 acres of gardens that stretch along a waterway.","$44,408(out-of-state)","31,162(fall 2020)"
39,University of Texas at Austin,https://www.usnews.com//best-colleges/university-of-texas-at-austin-3658,"Austin, TX",20 reviews,"The University of Texas at Austin is one of the largest schools in the nation. It\'92s divided into 13 schools and colleges, the biggest of which is the College of Liberal Arts. It also has highly ranked graduate programs, including the McCombs School of Business, Cockrell School of Engineering and School of Nursing. Students can participate in more than 1,000 clubs and organizations or in the sizable UT Greek system. The university has several student media outlets, and its sports teams are notorious competitors in the Division I Big 12 Conference. UT also offers hundreds of study abroad programs, with the most popular destinations being Spain, Italy, the United Kingdom, France and China. Freshmen do not have to live on campus.","$40,032(out-of-state)","40,048(fall 2020)"
40,William & Mary,https://www.usnews.com//best-colleges/william-and-mary-3705,"Williamsburg, VA",26 reviews,"William & Mary, located in Williamsburg, Virginia, is the second oldest college in the U.S. King William III and Queen Mary II of England founded the school in 1693. The university has more than 30 undergraduate programs and more than 10 graduate and professional degree programs. Its highly ranked graduate schools include the Marshall-Wythe School of Law, the first law school in the U.S.; the School of Education; and the Mason School of Business. Students can join the Phi Beta Kappa fraternity, the nation\'92s first academic Greek society, as well as other fraternities and sororities. All freshmen are required to live on campus, and the majority of upperclassmen choose to live on campus as well.","$46,467(out-of-state)","6,236(fall 2020)"
41,Boston University,https://www.usnews.com//best-colleges/boston-university-2130,"Boston, MA",16 reviews,"Boston University is one of the largest independent, nonprofit universities in the country. The BU Terriers have more than 20 NCAA Division I varsity sports. BU\'92s hockey team has won multiple NCAA national championships. BU also has nearly 500 student clubs, ranging from Ski Racing to the Juggling Association. BU created one of the first study abroad programs, and currently sponsors more than 90 international programs. Freshmen are required to live on campus, and about 80 percent of undergraduate students live on the main Boston campus, which lies along the Charles River.Boston University\'92s highly ranked graduate schools include the School of Law, School of Management, School of Medicine, College of Engineering and School of Education. BU\'92s School of Medicine is the nation\'92s first combined cancer research and teaching laboratory. BU is also the first university to open all divisions to female students in 1872. Notable alumni include Dr. Martin Luther King, Jr.; actresses Julianne Moore and Geena Davis; television personality Bill O\'92Reilly; radio host Howard Stern; and Tipper Gore, former wife of Al Gore. Another unique fact: the BU Bridge is the only spot in the U.S. where a plane can fly over a car driving over a train going over a boat, all at the same time.","$59,816 ","16,872(fall 2020)"
42,Brandeis University,https://www.usnews.com//best-colleges/brandeis-university-2133,"Waltham, MA",12 reviews,"Brandeis University is located in Waltham, Mass., just nine miles west of Boston. Students are guaranteed housing for their first four semesters. In addition to student-run TV and radio stations, Brandeis has religious and performance groups, service organizations, cultural awareness groups, performance groups and more. The Shapiro Campus Center serves as a hub of student activity on campus, housing a theater, bookstore, cafe, library, meeting rooms and a student art gallery. Cholmondeley\'92s, the campus coffeehouse, is another hotspot for concerts and comedy shows. The Brandeis Judges field more than 15 NCAA Division III teams and are known for their strong men\'92s soccer team. There is no Greek life on campus.Brandeis is comprised of the College of Arts and Sciences and four graduate schools. The Graduate School of Arts and Sciences offers highly ranked programs in English and history, and The Heller School for Social Policy and Management is notable for its programs in social policy, health policy and management, and international development. Nearly 50 percent of students participate in study abroad programs offered in about 70 countries around the world. The Steinhardt Social Research Institute at Brandeis provides research and information on contemporary Judaism and the Jewish community. Pulitzer Prize winner and New York Times columnist Thomas Friedman graduated from Brandeis, which was named for the first Jewish Associate Justice of the Supreme Court, Louis Dembitz Brandeis.","$60,391 ","3,493(fall 2020)"
43,Case Western Reserve University,https://www.usnews.com//best-colleges/case-western-reserve-university-3024,"Cleveland, OH",10 reviews,"Case Western Reserve University is known for its world class research, but with more than 200 student organizations, there are plenty of opportunities to get involved outside the classroom, too. The Case Western Spartans varsity teams compete in the Division III University Athletic Association. The Greek system, which stresses a commitment to on-campus and community service, involves about one third of students. The campus is located about 20 minutes from downtown Cleveland, where students have free access to a handful of downtown museums like the Rock and Roll Hall of Fame and the Great Lakes Science Center. On campus, freshmen live in one of four themed residential communities, which are called Cedar, Juniper, Magnolia and Mistletoe. All students are invited to the annual SpringFest, a collection of music, carnival games and activities that is the largest student-run event on campus.Case Western Reserve University boasts a broad range of top-rated specialty graduate programs, like its health law curriculum at the School of Law. The university also has renowned offerings in biomedical engineering at the School of Engineering and nonprofit management at the Weatherhead School of Management. In addition to its suburban campus, the school owns University Farm, a 400-acre plot of land about 10 miles from campus where students research and take courses in biology, ecology and art. Notable alumni include former U.S. Representative Dennis Kucinich and Craig Newmark, creator and namesake of Web site Craigslist.","$54,020 ","5,433(fall 2020)"
44,Tulane University,https://www.usnews.com//best-colleges/tulane-university-2029,"New Orleans, LA",14 reviews,"Tulane University, located in New Orleans, is divided between the main uptown campus and a downtown campus, which is the center for health science programs. The school has a well-regarded law school, and its School of Public Health and Tropical Medicine is the only specialty school of its kind in the U.S. Freshmen and sophomores must live on campus, with a few exceptions. Students can participate in more than 200 student organizations on campus. More than 40 percent of students are involved in Tulane\'92s 24 sororities and fraternities. Female students at Tulane University receive extra support through the Newcomb College Institute, which hosts symposiums and guest speakers and offers mentors to young women. Notable alumni include former Speaker of the House Newt Gingrich, talk show host Jerry Springer and Douglas R. Ellin, creator of HBO\'92s hit show ""Entourage.""","$60,814 ","7,700(fall 2020)"
